ID,Total Tasks,Task Completion Rate,Error Rate,Attendance,Productivity Score
27252,50,40,40,50,45
27253,60,20,60,90,54
27254,70,60,50,60,61
27255,30,50,70,30,44
27256,90,30,80,30,58
27257,30,30,40,60,38
27258,90,10,70,40,52
27259,50,20,30,50,37
27260,50,20,10,50,33
27261,70,40,30,50,49
27262,30,40,20,20,29
27263,50,60,20,60,49
27264,30,60,50,80,53
27265,10,50,30,70,38
27266,10,90,20,50,44
27267,50,70,40,50,54
27268,40,40,40,10,34
27269,80,10,50,80,53
27270,70,50,90,70,68
27271,20,50,80,80,53
27272,20,70,70,40,49
27273,70,30,60,40,50
27274,20,60,40,90,50
27275,90,80,80,80,83
27276,70,60,20,50,53
27277,50,40,10,60,41
27278,30,30,40,60,38
27279,80,40,10,30,44
27280,30,10,50,80,38
27281,50,40,30,20,37
27282,20,80,80,10,48
27283,90,90,60,10,68
27284,20,20,20,10,18
27285,30,20,60,10,29
27286,40,60,90,80,64
27287,20,70,90,30,51
27288,30,50,70,40,46
27289,90,10,60,10,44
27290,50,40,20,10,33
27291,70,90,50,90,76
27292,90,90,70,40,76
27293,20,20,90,30,36
27294,80,70,10,40,55
27295,10,70,30,20,34
27296,60,70,90,60,69
27297,50,20,10,30,29
27298,10,90,30,30,42
27299,70,60,60,40,59
27300,10,20,10,10,13
27301,30,10,90,20,34
27302,80,40,10,20,42
27303,70,90,50,90,76
27304,90,60,40,60,65
27305,10,50,20,60,34
27306,70,30,60,60,54
27307,20,70,20,20,35
27308,90,10,20,90,52
27309,80,70,10,90,65
27310,30,50,50,70,48
27311,40,50,50,10,39
27312,40,90,70,30,59
27313,60,60,20,40,48
27314,70,30,90,20,52
27315,60,50,70,60,59
27316,10,50,40,20,30
27317,30,70,20,70,48
27318,40,50,50,80,53
27319,80,10,70,20,45
27320,50,90,80,80,74
27321,50,80,90,40,65
27322,60,60,20,20,44
27323,30,80,40,80,57
27324,60,50,60,70,59
27325,60,30,30,10,35
27326,70,90,80,30,70
27327,30,30,90,80,52
27328,40,80,70,70,64
27329,10,70,80,70,54
27330,10,10,60,70,32
27331,50,50,80,30,52
27332,80,20,90,50,58
27333,10,10,40,50,24
27334,20,70,80,30,49
27335,50,60,30,20,43
27336,30,30,20,40,30
27337,80,90,60,40,71
27338,30,40,50,90,49
27339,70,60,80,80,71
27340,40,40,80,50,50
27341,30,30,30,20,28
27342,60,20,30,90,48
27343,20,30,10,60,29
27344,50,30,90,20,46
27345,70,40,70,30,53
27346,50,20,60,60,45
27347,20,20,90,30,36
27348,50,40,60,70,53
27349,70,80,40,20,57
27350,70,80,20,80,65
27351,20,10,80,20,29
27352,10,20,70,90,41
27353,30,20,80,20,35
27354,10,40,90,20,37
27355,30,50,30,40,38
27356,90,20,60,20,49
27357,10,10,50,10,18
27358,70,10,40,40,40
27359,50,50,50,90,58
27360,90,80,80,20,71
27361,30,60,60,30,45
27362,90,20,70,10,49
27363,90,60,70,50,69
27364,40,50,80,50,53
27365,60,20,10,40,34
27366,80,80,60,20,64
27367,80,40,80,30,58
27368,70,50,60,80,64
27369,90,90,70,90,86
27370,40,40,70,40,46
27371,30,90,30,60,54
27372,60,40,70,20,48
27373,80,10,40,30,41
27374,30,40,10,90,41
27375,30,60,80,60,55
27376,30,50,40,60,44
27377,80,80,90,80,82
27378,80,40,50,40,54
27379,90,20,70,20,51
27380,70,60,70,30,59
27381,30,80,70,90,65
27382,70,40,20,80,53
27383,90,10,60,20,46
27384,40,30,60,70,47
27385,40,70,50,80,59
27386,20,20,80,10,30
27387,10,30,70,20,30
27388,70,40,30,40,47
27389,20,40,90,50,46
27390,30,60,90,50,55
27391,30,10,70,70,40
27392,10,80,80,50,53
27393,70,80,10,40,55
27394,90,30,50,20,50
27395,40,40,40,20,36
27396,10,20,70,10,25
27397,90,30,40,50,54
27398,30,80,80,20,53
27399,90,20,90,30,57
27400,50,20,60,30,39
27401,10,80,50,70,51
27402,20,40,20,20,26
27403,40,40,80,80,56
27404,30,40,20,10,27
27405,10,20,50,50,29
27406,50,20,50,30,37
27407,10,50,20,40,30
27408,80,10,80,60,55
27409,10,90,60,30,48
27410,60,50,40,40,49
27411,10,80,90,80,61
27412,30,70,10,40,40
27413,10,20,70,20,27
27414,70,80,70,20,63
27415,20,50,80,90,55
27416,40,20,50,50,38
27417,40,70,10,20,39
27418,90,70,30,70,68
27419,70,90,10,10,52
27420,90,90,80,30,76
27421,20,60,80,50,50
27422,90,80,50,50,71
27423,80,40,20,40,48
27424,70,10,30,50,40
27425,70,10,70,90,56
27426,50,70,30,30,48
27427,50,50,20,20,38
27428,60,40,60,20,46
27429,70,70,80,50,68
27430,80,50,20,80,59
27431,70,90,30,30,60
27432,60,30,60,10,41
27433,60,50,80,30,55
27434,10,40,70,60,41
27435,20,30,50,10,27
27436,70,20,30,30,39
27437,40,40,80,80,56
27438,10,20,40,20,21
27439,10,80,80,10,45
27440,90,20,80,10,51
27441,80,10,10,40,37
27442,50,20,30,80,43
27443,80,40,90,20,58
27444,50,60,50,30,49
27445,10,10,30,60,24
27446,70,50,90,60,66
27447,90,80,20,70,69
27448,30,40,90,50,49
27449,70,10,60,60,48
27450,60,30,30,50,43
27451,40,30,10,20,27
27452,80,10,40,60,47
27453,40,20,70,80,48
27454,90,10,60,20,46
27455,80,40,80,50,62
27456,30,90,50,10,48
27457,80,50,40,60,59
27458,30,10,40,50,30
27459,80,70,90,90,81
27460,20,80,10,10,34
27461,40,70,50,90,61
27462,30,40,80,30,43
27463,10,80,10,60,41
27464,10,60,10,30,29
27465,40,10,10,30,23
27466,70,50,70,70,64
27467,60,50,90,90,69
27468,90,30,30,40,50
27469,60,60,80,10,54
27470,50,20,90,40,47
27471,10,80,40,90,53
27472,80,80,10,10,52
27473,80,50,10,40,49
27474,40,70,20,20,41
27475,70,70,20,60,58
27476,20,60,80,10,42
27477,20,50,40,20,33
27478,70,30,80,10,48
27479,30,40,90,10,41
27480,90,70,30,60,66
27481,70,90,10,90,68
27482,70,90,30,80,70
27483,80,60,50,80,68
27484,10,10,10,10,10
27485,70,90,20,80,68
27486,40,60,80,50,56
27487,70,30,50,10,42
27488,90,40,70,50,63
27489,30,80,80,10,51
27490,50,70,80,80,68
27491,50,20,40,40,37
27492,20,20,80,60,40
27493,40,20,50,40,36
27494,60,90,20,60,61
27495,80,20,90,90,66
27496,90,20,70,80,63
27497,40,70,90,50,61
27498,80,30,50,50,53
27499,50,90,40,30,56
27500,30,30,90,70,50
27501,80,80,60,50,70
27502,80,40,90,30,60
27503,80,90,10,60,65
27504,10,10,10,50,18
27505,20,20,50,20,26
27506,70,20,30,30,39
27507,20,70,70,10,43
27508,40,70,50,10,45
27509,20,70,30,70,47
27510,90,40,80,50,65
27511,40,50,50,20,41
27512,90,20,70,50,57
27513,70,30,50,90,58
27514,10,20,60,90,39
27515,10,10,50,30,22
27516,90,90,50,10,66
27517,80,10,10,40,37
27518,90,80,30,60,69
27519,30,70,70,50,54
27520,70,10,80,60,52
27521,20,80,90,60,60
27522,60,40,30,50,46
27523,20,70,70,10,43
27524,10,90,80,40,54
27525,90,40,60,10,53
27526,40,80,20,70,54
27527,60,80,90,90,78
27528,90,90,70,90,86
27529,90,70,40,40,64
27530,90,70,70,90,80
27531,10,80,20,60,43
27532,20,50,70,30,41
27533,50,60,20,10,39
27534,70,30,70,40,52
27535,80,50,10,70,55
27536,80,40,50,10,48
27537,90,30,50,10,48
27538,80,20,30,80,52
27539,80,20,80,30,52
27540,60,80,40,30,56
27541,10,50,30,10,26
27542,10,10,20,80,26
27543,40,40,90,10,44
27544,30,70,80,30,52
27545,80,90,70,20,69
27546,30,10,50,70,36
27547,40,20,30,40,32
27548,50,70,80,50,62
27549,10,90,90,40,56
27550,50,30,40,80,48
27551,40,90,90,30,63
27552,20,40,20,70,36
27553,20,30,90,10,35
27554,30,30,20,70,36
27555,40,70,30,90,57
27556,20,20,40,10,22
27557,10,60,60,60,45
27558,20,80,40,10,40
27559,80,20,40,70,52
27560,40,60,30,90,54
27561,60,30,50,80,53
27562,70,10,50,20,38
27563,70,10,50,20,38
27564,50,60,70,30,53
27565,50,90,50,10,54
27566,80,90,20,60,67
27567,70,60,60,80,67
27568,30,10,80,30,34
27569,60,30,10,10,31
27570,90,60,70,40,67
27571,50,40,10,70,43
27572,70,10,20,30,34
27573,70,20,60,30,45
27574,50,60,30,70,53
27575,50,60,60,30,51
27576,70,80,20,30,55
27577,70,30,60,10,44
27578,60,50,10,30,41
27579,90,30,70,90,68
27580,30,70,50,40,48
27581,30,60,40,80,51
27582,90,70,20,20,56
27583,10,20,30,80,31
27584,60,60,10,30,44
27585,80,80,20,80,68
27586,60,40,20,70,48
27587,30,50,80,50,50
27588,30,50,30,90,48
27589,30,20,80,30,37
27590,70,80,10,60,59
27591,30,70,40,30,44
27592,50,90,60,40,62
27593,90,70,50,90,76
27594,70,30,90,40,56
27595,60,50,40,80,57
27596,30,50,40,70,46
27597,30,40,10,90,41
27598,10,40,50,40,33
27599,40,70,40,10,43
27600,20,10,50,40,27
27601,20,70,70,50,51
27602,30,70,40,70,52
27603,40,50,10,50,39
27604,20,30,90,20,37
27605,10,40,50,80,41
27606,50,30,60,90,54
27607,90,90,30,90,78
27608,30,30,30,70,38
27609,60,60,50,50,56
27610,50,90,30,80,64
27611,70,40,60,10,47
27612,20,50,30,80,43
27613,10,60,10,70,37
27614,60,30,90,90,63
27615,30,80,20,40,45
27616,70,80,40,30,59
27617,90,20,10,70,49
27618,80,10,60,50,49
27619,10,50,50,30,34
27620,90,20,40,60,53
27621,40,60,90,50,58
27622,20,40,10,30,26
27623,30,40,20,30,31
27624,10,90,20,70,48
27625,60,70,40,10,49
27626,60,70,90,90,75
27627,10,10,80,50,32
27628,10,30,10,40,22
27629,30,80,50,60,55
27630,20,60,80,90,58
27631,60,40,20,10,36
27632,60,30,40,30,41
27633,70,80,10,80,63
27634,60,60,50,60,58
27635,50,40,20,20,35
27636,70,50,70,10,52
27637,20,20,30,60,30
27638,70,50,50,80,62
27639,90,30,70,70,64
27640,90,10,90,70,62
27641,60,30,70,70,55
27642,50,60,70,50,57
27643,50,70,30,30,48
27644,30,90,70,40,58
27645,70,70,50,60,64
27646,50,80,80,20,59
27647,80,20,60,40,50
27648,70,10,20,10,30
27649,20,30,70,10,31
27650,90,90,50,10,66
27651,40,30,60,40,41
27652,10,50,10,80,36
27653,50,20,70,90,53
27654,70,40,60,40,53
27655,50,80,20,50,53
27656,40,10,70,30,35
27657,10,90,70,60,56
27658,20,10,60,20,25
27659,60,40,90,60,60
27660,70,30,80,40,54
27661,20,50,50,80,47
27662,30,10,20,60,28
27663,90,10,30,90,54
27664,20,10,60,90,39
27665,40,20,90,80,52
27666,80,60,30,80,64
27667,10,70,50,40,42
27668,90,70,10,70,64
27669,10,80,20,20,35
27670,70,20,10,90,47
27671,30,50,20,20,32
27672,80,30,70,80,63
27673,90,90,50,70,78
27674,90,90,50,50,74
27675,10,80,10,50,39
27676,10,60,20,80,41
27677,80,20,70,80,60
27678,10,40,90,60,45
27679,30,10,60,10,26
27680,20,40,60,70,44
27681,40,10,90,70,47
27682,20,60,20,20,32
27683,20,40,70,40,40
27684,50,80,70,50,63
27685,50,70,10,10,40
27686,80,70,50,70,69
27687,60,30,80,70,57
27688,60,80,20,60,58
27689,10,70,90,30,48
27690,50,30,90,20,46
27691,90,70,30,60,66
27692,30,80,20,60,49
27693,40,20,40,80,42
27694,50,70,20,70,54
27695,30,90,70,50,60
27696,80,50,70,50,63
27697,70,30,60,30,48
27698,70,20,10,10,31
27699,80,10,80,50,53
27700,30,40,20,30,31
27701,60,70,70,40,61
27702,20,50,30,20,31
27703,10,20,40,50,27
27704,60,40,80,70,60
27705,60,30,10,20,33
27706,40,10,80,90,49
27707,80,20,50,70,54
27708,20,20,30,50,28
27709,90,80,90,30,75
27710,20,60,50,30,40
27711,70,70,40,70,64
27712,40,30,10,50,33
27713,50,80,70,50,63
27714,60,70,90,80,73
27715,20,20,50,10,24
27716,90,10,70,40,52
27717,80,10,70,40,49
27718,90,20,50,60,55
27719,40,20,10,10,22
27720,70,10,70,50,48
27721,50,20,10,50,33
27722,90,30,60,70,62
27723,10,20,70,80,39
27724,60,40,40,10,40
27725,60,70,90,60,69
27726,40,60,10,60,44
27727,30,20,90,90,51
27728,70,20,70,80,57
27729,40,50,10,40,37
27730,30,80,20,30,43
27731,50,30,70,70,52
27732,70,20,70,60,53
27733,90,70,90,90,84
27734,70,60,70,30,59
27735,10,70,70,70,52
27736,30,80,60,30,51
27737,20,70,30,50,43
27738,90,10,20,10,36
27739,20,90,80,40,57
27740,30,10,30,60,30
27741,80,50,80,10,57
27742,90,30,90,40,62
27743,70,90,30,60,66
27744,40,50,50,60,49
27745,50,90,50,20,56
27746,10,30,10,80,30
27747,10,60,20,10,27
27748,40,70,90,70,65
27749,70,60,80,80,71
27750,70,10,10,40,34
27751,20,10,70,90,41
27752,40,50,60,40,47
27753,10,20,50,90,37
27754,10,30,30,30,24
27755,60,90,70,80,75
27756,60,80,60,60,66
27757,60,80,90,80,76
27758,50,10,90,90,54
27759,10,90,90,10,50
27760,40,70,10,80,51
27761,50,80,30,60,57
27762,20,30,70,40,37
27763,70,10,80,60,52
27764,70,90,80,30,70
27765,50,40,60,30,45
27766,10,60,20,90,43
27767,20,40,60,50,40
27768,30,70,40,80,54
27769,20,90,80,70,63
27770,40,80,20,30,46
27771,20,10,80,40,33
27772,80,80,40,50,66
27773,80,30,10,10,37
27774,30,90,80,60,64
27775,40,10,20,60,31
27776,70,80,50,10,57
27777,10,40,70,30,35
27778,50,90,40,60,62
27779,40,20,10,60,32
27780,50,80,90,50,67
27781,80,20,10,10,34
27782,10,80,80,50,53
27783,90,50,20,60,58
27784,10,90,30,70,50
27785,80,80,40,20,60
27786,60,60,20,10,42
27787,10,20,80,30,31
27788,50,40,90,30,51
27789,50,80,60,20,55
27790,50,80,70,70,67
27791,40,50,10,50,39
27792,20,20,80,60,40
27793,20,20,40,20,24
27794,10,60,10,70,37
27795,10,70,30,90,48
27796,40,60,80,80,62
27797,40,20,60,10,32
27798,50,90,90,40,68
27799,80,30,80,10,51
27800,10,80,10,90,47
27801,10,40,60,80,43
27802,30,20,30,70,35
27803,70,70,20,20,50
27804,10,40,90,60,45
27805,80,60,50,60,64
27806,10,90,70,50,54
27807,30,10,70,50,36
27808,70,30,30,60,48
27809,90,70,80,50,74
27810,70,50,40,20,48
27811,80,50,10,20,45
27812,20,80,40,60,50
27813,90,80,50,10,63
27814,60,60,60,40,56
27815,20,20,10,80,30
27816,50,60,80,10,51
27817,60,60,10,80,54
27818,70,50,50,90,64
27819,60,60,30,10,44
27820,90,60,70,60,71
27821,50,10,60,60,42
27822,80,80,40,10,58
27823,40,40,40,70,46
27824,20,80,40,40,46
27825,30,60,30,40,41
27826,40,30,20,90,43
27827,40,40,10,30,32
27828,30,10,90,30,36
27829,60,70,10,90,59
27830,50,70,50,70,60
27831,90,20,90,90,69
27832,20,20,90,90,48
27833,40,30,90,10,41
27834,90,40,10,30,47
27835,70,20,90,40,53
27836,20,50,10,60,35
27837,50,20,40,60,41
27838,80,10,80,20,47
27839,70,40,60,20,49
27840,60,10,70,70,49
27841,30,40,20,30,31
27842,90,90,40,40,70
27843,10,90,60,70,56
27844,70,50,20,10,42
27845,80,60,60,70,68
27846,60,40,10,20,36
27847,80,80,20,60,64
27848,50,70,20,60,52
27849,20,30,90,70,47
27850,40,70,10,30,41
27851,50,60,80,90,67
27852,20,30,60,50,37
27853,20,40,30,10,26
27854,20,60,50,90,52
27855,40,20,90,40,44
27856,30,30,50,80,44
27857,20,60,20,70,42
27858,60,40,50,30,46
27859,20,50,10,40,31
27860,90,50,20,60,58
27861,50,40,80,10,45
27862,20,50,30,70,41
27863,10,10,30,10,14
27864,40,50,80,20,47
27865,80,40,80,30,58
27866,10,90,20,70,48
27867,60,80,90,60,72
27868,90,20,90,80,67
27869,30,60,60,70,53
27870,30,30,10,10,22
27871,50,80,10,20,45
27872,70,10,20,50,38
27873,50,80,20,40,51
27874,90,40,30,20,49
27875,50,90,10,60,56
27876,50,80,10,90,59
27877,70,50,70,50,60
27878,60,70,50,20,53
27879,80,30,40,10,43
27880,90,50,20,80,62
27881,60,80,50,40,60
27882,40,80,30,20,46
27883,30,30,70,20,36
27884,10,30,30,20,22
27885,10,70,80,50,50
27886,10,50,70,70,46
27887,10,10,20,20,14
27888,90,90,60,10,68
27889,40,40,10,20,30
27890,90,10,50,70,54
27891,90,50,50,60,64
27892,20,20,30,50,28
27893,60,40,50,60,52
27894,90,90,20,30,64
27895,60,30,80,50,53
27896,20,10,90,50,37
27897,30,10,20,50,26
27898,80,50,50,80,65
27899,10,10,30,50,22
27900,40,40,90,80,58
27901,30,20,20,70,33
27902,90,30,80,50,62
27903,70,50,80,90,70
27904,80,30,10,20,39
27905,10,40,90,50,43
27906,70,80,40,40,61
27907,60,70,50,10,51
27908,30,50,60,70,50
27909,90,60,70,50,69
27910,50,80,50,90,67
27911,20,50,70,80,51
27912,70,20,30,80,49
27913,50,90,20,80,62
27914,90,30,80,40,60
27915,50,70,90,50,64
27916,10,30,80,50,38
27917,20,20,90,90,48
27918,10,20,20,50,23
27919,10,20,40,40,25
27920,60,90,10,60,59
27921,20,80,80,70,60
27922,10,60,50,70,45
27923,70,80,50,10,57
27924,90,20,30,70,53
27925,60,80,90,20,64
27926,50,40,80,30,49
27927,70,90,80,40,72
27928,20,60,50,10,36
27929,40,60,80,30,52
27930,50,80,40,80,63
27931,90,60,40,20,57
27932,80,30,90,60,63
27933,50,90,10,20,48
27934,70,40,50,70,57
27935,70,30,30,40,44
27936,40,10,50,40,33
27937,50,70,80,60,64
27938,10,40,60,60,39
27939,50,90,20,50,56
27940,30,80,30,20,43
27941,30,30,40,80,42
27942,50,50,40,20,42
27943,50,90,70,40,64
27944,30,80,20,10,39
27945,40,40,20,30,34
27946,20,60,50,80,50
27947,40,60,40,30,44
27948,70,70,90,30,66
27949,50,20,60,10,35
27950,20,20,70,10,28
27951,50,80,90,40,65
27952,50,20,30,70,41
27953,90,40,60,20,55
27954,60,10,40,80,45
27955,80,20,80,90,64
27956,10,70,60,10,38
27957,40,20,20,60,34
27958,30,20,60,60,39
27959,20,70,40,90,53
27960,10,40,90,80,49
27961,90,10,10,30,38
27962,70,90,30,10,56
27963,90,10,30,70,50
27964,40,70,90,80,67
27965,70,70,70,30,62
27966,70,90,90,50,76
27967,50,60,40,30,47
27968,80,80,10,50,60
27969,70,20,40,30,41
27970,40,60,90,50,58
27971,60,50,70,20,51
27972,80,50,30,90,63
27973,30,20,90,40,41
27974,10,50,90,70,50
27975,10,90,50,10,42
27976,50,80,70,70,67
27977,20,10,10,20,15
27978,30,80,20,30,43
27979,20,20,30,80,34
27980,50,10,50,10,30
27981,50,40,40,10,37
27982,60,40,10,50,42
27983,60,20,10,80,42
27984,20,50,30,50,37
27985,10,30,40,90,38
27986,90,20,90,60,63
27987,40,30,10,50,33
27988,40,50,30,70,47
27989,20,80,60,20,46
27990,70,80,70,40,67
27991,20,40,80,50,44
27992,90,60,60,30,63
27993,80,10,60,40,47
27994,60,40,10,20,36
27995,30,40,10,30,29
27996,30,10,30,60,30
27997,40,70,90,60,63
27998,30,30,30,30,30
27999,10,50,40,70,40
28000,90,90,80,70,84
28001,90,90,50,80,80
28002,40,80,80,10,54
28003,40,90,20,40,51
28004,20,80,80,80,62
28005,80,60,50,40,60
28006,30,30,70,50,42
28007,90,20,10,80,51
28008,40,10,80,30,37
28009,90,60,40,20,57
28010,90,80,50,20,65
28011,70,30,90,70,62
28012,90,90,30,70,74
28013,60,80,50,50,62
28014,60,60,50,20,50
28015,70,90,70,20,66
28016,10,60,70,20,39
28017,80,60,50,50,62
28018,40,40,70,30,44
28019,40,30,80,40,45
28020,70,60,30,20,49
28021,60,30,50,80,53
28022,10,60,60,60,45
28023,60,80,10,70,58
28024,40,50,20,30,37
28025,50,50,30,50,46
28026,30,80,40,70,55
28027,40,50,50,80,53
28028,50,90,80,50,68
28029,10,80,10,80,45
28030,90,80,40,10,61
28031,90,50,20,80,62
28032,80,70,10,50,57
28033,50,90,80,80,74
28034,40,80,80,90,70
28035,10,30,60,10,26
28036,20,70,60,70,53
28037,70,10,40,90,50
28038,70,60,70,90,71
28039,90,60,30,40,59
28040,60,70,90,70,71
28041,90,50,80,70,72
28042,70,60,70,60,65
28043,90,60,80,90,79
28044,20,40,90,60,48
28045,20,80,10,70,46
28046,70,20,70,50,51
28047,90,90,90,30,78
28048,30,60,80,60,55
28049,10,30,40,90,38
28050,30,40,80,30,43
28051,10,20,20,70,27
28052,20,10,20,40,21
28053,10,60,90,40,47
28054,30,90,70,90,68
28055,80,90,50,60,73
28056,30,20,30,50,31
28057,50,30,30,20,34
28058,20,40,20,30,28
28059,30,40,30,70,41
28060,80,70,40,30,59
28061,10,90,30,90,54
28062,50,90,10,80,60
28063,20,30,20,90,37
28064,90,10,10,50,42
28065,20,10,90,90,45
28066,60,70,70,70,67
28067,70,20,80,80,59
28068,60,80,20,40,54
28069,70,70,20,90,64
28070,60,40,90,80,64
28071,80,30,10,50,45
28072,10,50,20,10,24
28073,40,20,20,70,36
28074,30,90,60,50,58
28075,80,60,20,50,56
28076,60,90,10,40,55
28077,80,80,70,90,80
28078,90,90,30,80,76
28079,20,10,80,10,27
28080,10,10,40,90,32
28081,20,40,80,10,36
28082,70,20,40,60,47
28083,10,10,80,30,28
28084,70,20,20,60,43
28085,90,50,20,50,56
28086,70,60,60,80,67
28087,10,30,80,90,46
28088,80,50,60,60,63
28089,60,40,30,30,42
28090,60,70,70,60,65
28091,90,20,10,70,49
28092,10,40,20,80,35
28093,90,40,60,50,61
28094,20,30,90,40,41
28095,70,70,50,20,56
28096,20,80,90,50,58
28097,60,90,70,40,67
28098,30,70,80,60,58
28099,30,70,10,70,46
28100,60,90,50,10,57
28101,50,40,60,80,55
28102,80,40,90,70,68
28103,70,30,20,10,36
28104,60,10,20,50,35
28105,10,80,80,50,53
28106,60,20,80,40,48
28107,30,90,10,20,42
28108,70,20,20,50,41
28109,20,70,30,10,35
28110,50,40,50,40,45
28111,80,60,60,40,62
28112,30,50,60,20,40
28113,10,70,70,40,46
28114,40,20,30,20,28
28115,40,10,10,30,23
28116,20,90,70,40,55
28117,90,30,50,30,52
28118,70,20,40,80,51
28119,20,70,60,70,53
28120,80,70,90,60,75
28121,90,60,20,10,51
28122,70,20,50,20,41
28123,40,70,70,90,65
28124,50,10,70,60,44
28125,80,40,20,30,46
28126,80,10,40,50,45
28127,30,90,20,40,48
28128,70,40,30,50,49
28129,40,60,30,50,46
28130,10,80,60,30,45
28131,90,60,40,90,71
28132,90,30,50,50,56
28133,70,90,80,20,68
28134,50,50,10,10,34
28135,30,30,20,70,36
28136,90,10,70,60,56
28137,40,50,10,50,39
28138,90,40,90,90,75
28139,80,50,30,20,49
28140,60,30,60,20,43
28141,70,80,60,50,67
28142,60,60,90,70,68
28143,10,30,30,50,28
28144,70,40,60,20,49
28145,90,70,60,10,62
28146,40,60,50,40,48
28147,50,60,80,20,53
28148,80,10,50,90,55
28149,60,30,40,60,47
28150,60,90,10,70,61
28151,70,90,70,70,76
28152,70,50,50,60,58
28153,90,30,60,10,50
28154,50,50,80,80,62
28155,80,10,60,80,55
28156,20,80,10,10,34
28157,10,70,40,50,42
28158,80,20,50,10,42
28159,90,40,10,50,51
28160,10,90,50,90,58
28161,20,50,10,80,39
28162,10,40,60,40,35
28163,30,90,70,10,52
28164,80,70,30,40,59
28165,50,10,40,90,44
28166,60,20,20,50,38
28167,50,60,10,90,53
28168,70,40,30,90,57
28169,80,70,10,60,59
28170,10,40,30,20,25
28171,10,70,30,60,42
28172,60,70,80,50,65
28173,10,80,40,50,45
28174,60,80,40,10,52
28175,50,70,70,40,58
28176,10,40,20,20,23
28177,90,90,70,40,76
28178,80,40,30,80,58
28179,30,50,20,90,46
28180,70,40,40,30,47
28181,90,40,70,50,63
28182,10,10,30,40,20
28183,40,70,10,40,43
28184,20,50,20,50,35
28185,30,90,10,50,48
28186,90,30,10,70,52
28187,10,30,30,40,26
28188,60,80,50,60,64
28189,70,60,80,10,57
28190,50,40,20,70,45
28191,20,80,10,10,34
28192,20,70,70,30,47
28193,50,60,70,70,61
28194,10,40,20,60,31
28195,90,60,20,90,67
28196,50,30,80,90,58
28197,40,60,90,20,52
28198,30,30,30,90,42
28199,30,10,70,70,40
28200,50,50,90,90,66
28201,70,80,90,70,77
28202,20,50,80,40,45
28203,10,20,10,40,19
28204,60,70,50,60,61
28205,50,50,50,80,56
28206,60,90,40,20,57
28207,10,10,20,90,28
28208,10,40,20,10,21
28209,70,70,90,30,66
28210,50,30,20,80,44
28211,20,10,80,80,41
28212,80,60,10,60,56
28213,40,20,60,40,38
28214,30,90,40,50,54
28215,30,70,70,90,62
28216,60,10,80,60,49
28217,80,90,20,30,61
28218,50,20,90,10,41
28219,40,70,70,30,53
28220,20,80,40,80,54
28221,60,50,20,40,45
28222,20,70,70,20,45
28223,10,50,90,10,38
28224,80,30,30,40,47
28225,60,60,30,60,54
28226,50,10,50,20,32
28227,90,40,60,40,59
28228,90,90,40,20,66
28229,40,70,70,80,63
28230,10,90,50,40,48
28231,50,20,10,50,33
28232,60,30,30,80,49
28233,80,10,90,90,63
28234,80,50,40,20,51
28235,30,40,60,60,45
28236,90,80,60,90,81
28237,50,90,40,50,60
28238,90,10,80,30,52
28239,90,70,10,10,52
28240,10,30,90,60,42
28241,90,60,60,90,75
28242,40,10,20,60,31
28243,70,20,60,60,51
28244,80,20,50,80,56
28245,80,20,40,20,42
28246,50,10,20,10,24
28247,50,90,50,80,68
28248,30,30,30,20,28
28249,90,80,30,50,67
28250,30,90,60,80,64
28251,10,80,10,40,37
28252,30,50,60,60,48
28253,70,30,50,50,50
28254,70,20,70,40,49
28255,90,70,20,20,56
28256,30,70,20,20,38
28257,70,10,80,80,56
28258,80,40,30,50,52
28259,40,30,40,10,31
28260,20,10,10,50,21
28261,30,70,20,40,42
28262,20,20,50,40,30
28263,40,40,10,40,34
28264,60,60,90,40,62
28265,60,60,90,50,64
28266,30,90,50,40,54
28267,30,60,20,20,35
28268,40,20,30,60,36
28269,90,20,50,20,47
28270,70,30,90,30,54
28271,10,20,40,80,33
28272,80,70,30,90,69
28273,10,20,70,60,35
28274,40,70,90,60,63
28275,20,30,80,10,33
28276,10,90,80,70,60
28277,30,20,60,30,33
28278,50,70,10,20,42
28279,80,90,50,70,75
28280,50,70,20,90,58
28281,50,80,20,40,51
28282,60,90,30,30,57
28283,50,90,40,60,62
28284,90,30,70,70,64
28285,10,60,10,70,37
28286,70,60,40,60,59
28287,40,30,20,70,39
28288,20,80,60,50,52
28289,50,90,10,60,56
28290,50,10,80,30,40
28291,30,20,10,80,33
28292,30,60,70,70,55
28293,40,80,50,40,54
28294,70,50,90,40,62
28295,20,70,70,40,49
28296,20,70,10,30,35
28297,30,40,80,20,41
28298,60,90,20,10,51
28299,40,80,10,10,40
28300,80,40,10,80,54
28301,70,80,50,90,73
28302,10,40,80,50,41
28303,20,70,10,20,33
28304,10,50,80,70,48
28305,40,80,20,20,44
28306,80,50,10,40,49
28307,60,60,70,20,54
28308,40,50,20,80,47
28309,10,40,10,70,31
28310,80,90,60,10,65
28311,20,10,70,90,41
28312,60,90,40,90,71
28313,40,60,50,40,48
28314,60,70,80,10,57
28315,10,80,50,50,47
28316,30,40,60,20,37
28317,60,90,70,10,61
28318,10,20,40,30,23
28319,50,40,50,10,39
28320,90,10,20,80,50
28321,40,80,80,30,58
28322,40,20,90,10,38
28323,40,60,70,80,60
28324,30,30,20,80,38
28325,50,10,90,80,52
